"yquancheng" "ysuoxie"
"U.S. Naval Academy" "Navy"
"Northern Arizona University" "NAU"
"North Carolina Central University" "NCCU"
"North Carolina State University" "NCSU"
"North Carolina A&T State University" "NC A&T"
"University of North Dakote" "ND"
"North Dakota State University" "NDSU"
"Northeastern University" "NE"
"Northeastern University" "NEU"
"New College of Florida" "New College"
"New College of Florida" "NCF"
"Northern Illinois University" "NIU"
"Northern Kentucky University" "NKU"
"New Mexico State University" "NMSU"
"Northern Michigan University" "NMU"
"University of North Dakota" "NoDak"
"Northern Virginia Community College" "Nova"
"Northeastern State University" "NSU"
"Niagara University" "NU"
"Northwestern University" "NWU"
"Northwestern University" "NW"
"Northwestern University" "Northwestern U"
"Northwest Missouri State University" "NWMSU"
"New York Institute of Technology" "NYIT"
"New York Medical College" "NYMC"
"New York University" "NYU"
"Oklahoma Christian University" "OC"
"Orange Coast College" "OCC"
"Oklahoma City University" "OCU"
"Ohio Dominican University" "ODU"
"Oregon Institute of Technology" "OIT"
"Oklahoma State University" "OK State"
"University of Mississippi" "Ole Miss"
"Ohio Northern University" "ONU"
"The Ohio State University" "Ohio State University"
"The Ohio State University" "OSU"
"Oakland University" "OU"
"Occidental College" "Oxy"
"University of the Pacific" "Pacific"
"Providence College" "PC"
"Pensacola Christian College" "PCC"
"University of Pennsylvania" "Penn"
"University of Pittsburgh" "Pitt"
"University of Pittsburgh" "Pitts"
"University of Pittsburgh" "Upitts"
"University of Pittsburgh" "Pittsburgh"
"University of Pittsburgh" "Upitt"
"Point Loma Nazarene University" "PLNU"
"Pomona College" "POM"
"Pennsylvania State University" "PSU"
"Pennsylvania State University" "PennState"
"Princeton Theological Seminary" "PTS"
"Prairie View A&M University" "PVAMU"
"Quinnipiac University" "QU"
"Case Western Reserve University" "Reserve"
"Case Western Reserve University" "CWRU"
"Rose-Hulman Institute of Technology" "RHIT"
"Rhode Island College" "RIC"
"Rhode Island School of Design" "RISD"
"Rochester Institute of Technology" "RIT"
"Randolph-Macon Woman's College" "R-MWC"
"Rensselaer Polytechnic Institute" "RPI"
"Rutgers University" "RU"
"Rutgers University" "Rutgers"
"Roger Williams University" "RWU"
"Roberts Wesleyan College" "RWC"
"California State University" "Sac State"
"University of Southern California" "SC"
"South Carolina State University" "SCSU"
"Scripps College" "Scripps"
"Santa Clara University" "SCU"
"South Dakota School of Mines and Technology" "SDSM&T"
"San Diego State University" "SDSU"
"San Francisco State University" "SFSU"
"Southeast Missouri State University" "SEMo"
"University of the South" "Sewanee"
"Spring Hill College" "SHC"
"Southern Illinois University Carbondale" "SIUC"
"Southern Illinois University Carbondale" "SIU"
"Southern Illinois University Edwardsville" "SIUE"
"St. John's College" "SJC"
