index_origin,author,time,toefl,gre_total,gre_v,gre_q,gre_aw,district,season,type,offertype,major_school_apply,major_school,gpa,graduated,gre_raw,gre_sub,extrainfo,college_apply,major_apply,college_before,major_before,cross,gpa_measure,rl,intern,research,paper,first,sci,exchange
732,yaozonghui,17,103,320,,,, 美国,Fall,MS,AD无奖,Stat/Biostat@UFL biostat/ uiuc, 药物分析 @ 中国药科大学,90.2,,320,, 本科在Rutgers 毕业实习做药物模型，数据分析,UFL biostat/ uiuc,Stat/Biostat, 中国药科大学,药物分析,0,100,0,1,0,0,0,0,0
7320,ConstantDavid,17,99,328,158,170,3, 美国,Fall,MS,AD无奖,CS@GWU, SE @ BUAA,3.3,,158+170+3.0,,,GWU,CS, BUAA,SE,0,4,0,0,0,0,0,0,0
7322,angela950830,17,111,328,160,168,, 美国,Fall,MS,AD无奖,Envir@U Colorado Boulder, Civil Engineering @ UMacau,3.28,,328 V160 Q168 AW3.5,,,U Colorado Boulder,Envir, UMacau,Civil Engineering,0,4,0,0,0,0,0,0,0
7324,MeloLiu,17,102,323,155,168,3, 美国,Fall,MS,AD无奖,CS@ASU, CS @ 四川大学,3.04,,155+168+3,, 无牛推,ASU,CS, 四川大学,CS,1,4,0,0,0,0,0,0,0
7328,mrxiaoyuer,17,104,328,,,3, 美国,Fall,MS,WaitingList,CS@CS @ Dartmouth, CS @ ,89,,328+3.0,, 无, Dartmouth,CS, ,CS,1,100,0,0,0,0,0,0,0
7330,ZJ,17,100,321,,,, 美国,Fall,MS,Rej,EE@Cornell, 电子信息工程 @ ,87.71,,321,,,Cornell,EE, ,电子信息工程,0,100,0,0,0,0,0,0,0
7332,gtkk314,17,106,323,,,3.5, 美国,Fall,MS,AD无奖,EE@IIT, EE @ ,3.08,,323+3.5,, 无,IIT,EE, ,EE,1,4,0,0,0,0,0,0,0
7334,sharpzhao,17,100,316,150,166,3, 美国,Fall,MS,AD无奖,CS@UCSC, 通信工程 @ BUPT北邮,81.48,,150+166+3.0 (316),, 百度实习半年，美团工作一年，美赛M奖,UCSC,CS, BUPT北邮,通信工程,0,100,0,1,0,0,0,0,0
7335,Vicky110999,17,93,317,,,, 美国,Fall,MS,Offer,CS@RIT, 电气工程及其自动化 @ ,3.3,,317,,,RIT,CS, ,电气工程及其自动化,0,4,0,0,0,0,0,0,0
7339,yuanchen,17,102,307,,,, 美国,Fall,PhD,Offer,Stat/Biostat@University of South Carolina, 数学与应用数学 @ ,3.76,": Applied Mathematics @ , GPA  4.0/4.0: 海外",307,, 两封美国教授的强推，两篇paper,University of South Carolina,Stat/Biostat, ,数学与应用数学,0,4,0,0,0,1,0,0,0
734,Xhine,17,109,332,,,3.5, 美国,Fall,MS,AD无奖,CS@CMU, 电气 @ XJTU,90,,332+3.5,," 第二专业ACCA,ucsd交流一学期",CMU,CS, XJTU,电气,0,100,0,1,1,0,0,0,1
